Year,State Name,Constituency Name,Constituency No,Winning Candidate,Party,Gender,Valid Votes,Electors,Turnout %,Margin,Margin %
1951,Delhi,"KOTLA FEROZE SHAH",1,"SHANTA VASISHT",INC,M,8258,15254,54.14,1989,24.09
1951,Delhi,"PARLIAMENT STREET",2,"KHUSHALESHWAR PRASHAD SHANKARA",INC,M,8400,16691,50.33,3067,36.51
1951,Delhi,"SAFDAR JANG",3,"DALJIT SINGH",INC,M,7228,16258,44.46,4828,66.8
1951,Delhi,"LODHI ROAD",4,"SHIV NANDAN RISHI",INC,M,7928,14667,54.05,1798,22.68
1951,Delhi,"PURANA QILLA VINEY NAGAR",5,"PUSHPA DEVI",INC,M,7899,15943,49.55,2788,35.3
1951,Delhi,"DELHI CANTT",6,"RAGHVENDRA SINGH",INC,M,7836,14951,52.41,1376,17.56
1951,Delhi,"READING ROAD",7,"AMIN CHAND",BJS,M,16769,28506,58.83,0,0
1951,Delhi,"READING ROAD",7,"PRAFULLA RANJAN CHAKARVARTI",INC,M,16769,28506,58.83,0,0
1951,Delhi,"CHITTAR GUPTA",8,"KARTAR SINGH",INC,M,8466,14418,58.72,1587,18.75
1951,Delhi,"MANTOLA",9,"MUSHTAQ RAI",INC,M,10396,15583,66.71,283,2.72
1951,Delhi,"RAM NAGAR",10,"SHANKAR LAL",INC,M,9516,15594,61.02,416,4.37
1951,Delhi,"JHANDAY WALAN",11,"GARDHARI LAL SALWAN",BJS,M,8965,14428,62.14,209,2.33
1951,Delhi,"KASHMERE GATE",12,"BHAGWAN DASS",INC,M,10702,16930,63.21,809,7.56
1951,Delhi,"CHANDNI CHOWK",13,"YUDHVIR SINGH",INC,M,8352,16911,49.39,952,11.4
1951,Delhi,"PHATAK HABASH KHAN",14,"HARKISHAN LAL",INC,M,8212,13635,60.23,1846,22.48
1951,Delhi,"MALIWARA",15,"ANAND RAJ",INC,M,9299,16083,57.82,2733,29.39
1951,Delhi,"BALLIMARAN",16,"SULTAN YAR KHAN",INC,M,10243,16440,62.31,1278,12.48
1951,Delhi,"CHAWRI BAZAR",17,"NURUDDIN AHMAD",INC,M,8988,15670,57.36,3060,34.05
1951,Delhi,"AJMERI GATE",18,"SHAFIQ-UR-REHMAN KIDWAI",INC,M,9734,14932,65.19,499,5.13
1951,Delhi,"SITA RAM BAZAR TURKMAN GATE",19,"SHIV CHARAN DASS",INC,M,32700,29395,55.62,0,0
1951,Delhi,"SITA RAM BAZAR TURKMAN GATE",19,"SUDERSHAN SINGH",INC,M,32700,29395,55.62,0,0
1951,Delhi,"KUCHA CHELAN",20,"MUSHTAQ AHMED",SP,M,9461,17265,54.8,1016,10.74
1951,Delhi,"DARYA GANJ",21,"GURMUKH NIHAL SINGH",INC,M,9692,17261,56.15,555,5.73
1951,Delhi,"CHANDRAWAL",22,"HUKAM SINGH",INC,M,9219,15855,58.15,1532,16.62
1951,Delhi,"ROSHANARA",23,"JAGAN NATH",INC,M,9779,15855,61.68,470,4.81
1951,Delhi,"ARYA PURA",24,"MANGAL DASS",INC,M,10431,17430,59.85,2266,21.72
1951,Delhi,"TOKRIWALAN",25,"GOPI NATH",INC,M,8372,14570,57.46,666,7.96
1951,Delhi,"DEPUTY GANJ",26,"SHAM CHARAN",BJS,M,8887,14626,60.76,291,3.27
1951,Delhi,"PAHARI DHIRAJ BASTI JULLAHAN",27,"HEM CHAND JAIN",INC,M,32397,29202,55.47,0,0
1951,Delhi,"PAHARI DHIRAJ BASTI JULLAHAN",27,"DHANPAT RAI",INC,M,32397,29202,55.47,0,0
1951,Delhi,"MANAK PURA",28,"B . D . JOSHI",SP,M,9988,16826,59.36,58,0.58
1951,Delhi,"TIBBIA COLLEGE",29,"RAM SINGH",HMS,M,10270,15838,64.84,1242,12.09
1951,Delhi,"NAIWALA",30,"DILAWAR SINGH",BJS,M,10606,16295,65.09,133,1.25
1951,Delhi,"REHGAR PURA DEV NAGAR",31,"SUSHILA NAYAR",INC,M,32312,31019,52.08,0,0
1951,Delhi,"REHGAR PURA DEV NAGAR",31,"DAYA RAM",INC,M,32312,31019,52.08,0,0
1951,Delhi,"KISHAN GANJ ANAND PARBAT",32,"JAG PARVESH CHANDRA",INC,M,10164,17787,57.14,1913,18.82
1951,Delhi,"CIVIL LINES",33,"KRISHNA",INC,M,8652,14724,58.76,1634,18.89
1951,Delhi,"KINGSWAY CAMP",34,"JANG BHADUR SINGH",BJS,M,7910,14817,53.38,709,8.96
1951,Delhi,"WAZIRABAD",35,"FATEH SINGH",INC,M,11363,17642,64.41,2723,23.96
1951,Delhi,"SHAHDARA",36,"CHINTA MANI",INC,M,11071,16727,66.19,462,4.17
1951,Delhi,"NARELA",37,"PRABHU DAYAL",INC,M,37154,28153,65.99,0,0
1951,Delhi,"NARELA",37,"MANGE RAM",INC,M,37154,28153,65.99,0,0
1951,Delhi,"NANGLOI",38,"BRAHM PRAKASH",INC,M,10422,15966,65.28,4517,43.34
1951,Delhi,"KHANJHAWLA",39,"BHUP SINGH",IND,M,11078,15335,72.24,24,0.22
1951,Delhi,"ISA PUR",40,"SUBEDAR HATI SINGH",INC,M,8936,14885,60.03,1633,18.27
1951,Delhi,"NAJAF GARH",41,"AJIT SINGH",INC,M,10689,15069,70.93,3987,37.3
1951,Delhi,"MEHRAULI",42,"MITTER SEN",INC,M,33022,29232,56.48,0,0
1951,Delhi,"MEHRAULI",42,"SUKH DEV",INC,M,33022,29232,56.48,0,0
