"AC Name","AC No.","Type","District","Winning Candidate","Party","Total Electors","Total Votes","Poll%","Margin","Margin %"
Adampur,47,GEN,Hisar,Chander Parkash S/o Arjun Lal,Indian National Congress,179028,135307,75.6 %,1268,0.9%
Ambala Cantt,4,GEN,Ambala,Anil Vij,Bharatiya Janta Party,207135,132682,64.1 %,7277,5.5%
Ambala City,5,GEN,Ambala,Nirmal Singh Mohra,Indian National Congress,262827,164330,62.5 %,11131,6.8%
Assandh,23,GEN,Karnal,Yoginder Singh Rana,Bharatiya Janta Party,243402,161986,66.6 %,2306,1.4%
Ateli,68,GEN,Mahendragarh,Arti Singh Rao,Bharatiya Janta Party,207318,144822,69.9 %,3085,2.1%
Badhra,55,GEN,Charkhi Dadri,Umed Singh,Bharatiya Janta Party,212279,143525,67.6 %,7585,5.3%
Badkhal,87,GEN,Faridabad,Dhanesh Adlakha,Bharatiya Janta Party,332219,158475,47.7 %,6181,3.9%
Badli,65,GEN,Jhajjar,Kuldeep Vats,Indian National Congress,190223,131889,69.3 %,16820,12.8%
Badshahpur,76,GEN,Gurgaon,Rao Narbir Singh,Bharatiya Janta Party,521781,280482,53.8 %,60705,21.6%
Bahadurgarh,64,GEN,Jhajjar,Rajesh Joon,Independent,247136,158536,64.1 %,41999,26.5%
Ballabhgarh,88,GEN,Faridabad,Mool Chand Sharma,Bharatiya Janta Party,274984,145576,52.9 %,17730,12.2%
Baroda,33,GEN,Sonipat,Induraj Singh Narwal,Indian National Congress,190792,129699,68.0 %,5642,4.4%
Barwala,51,GEN,Hisar,Ranbir Gangwa,Bharatiya Janta Party,189744,139657,73.6 %,26942,19.3%
Bawal,72,SC,Rewari,Dr. Krishan Kumar,Bharatiya Janta Party,232610,156652,67.3 %,20011,12.8%
Bawani Khera,59,SC,Bhiwani,Kapoor Singh,Bharatiya Janta Party,218060,152845,70.1 %,21779,14.2%
Beri,67,GEN,Jhajjar,Raghuvir Singh Kadian,Indian National Congress,186214,118677,63.7 %,35470,29.9%
Bhiwani,57,GEN,Bhiwani,Ghanshyam Saraf,Bharatiya Janta Party,238524,144790,60.7 %,32714,22.6%
Dabwali,43,GEN,Sirsa,Aditya Devilal,Indian National Lok Dal,207968,162077,77.9 %,610,0.4%
Dadri,56,GEN,Charkhi Dadri,Sunil Satpal Sangwan,Bharatiya Janta Party,208351,141872,68.1 %,1957,1.4%
Ellenabad,46,GEN,Sirsa,Bharat Singh Beniwal,Indian National Congress,195865,157909,80.6 %,15000,9.5%
Faridabad,89,GEN,Faridabad,Vipul Goel,Bharatiya Janta Party,265998,142062,53.4 %,48388,34.1%
Faridabad Nit,86,GEN,Faridabad,Satish Kumar Phagna,Bharatiya Janta Party,321449,192280,59.8 %,33217,17.3%
Fatehabad,40,GEN,Fatehabad,Balwan Singh Doulatpuria,Indian National Congress,259615,194558,74.9 %,2252,1.2%
Ferozepur Jhirka,80,GEN,Mewat,Mamman Khan,Indian National Congress,247449,180727,73.0 %,98441,54.5%
Ganaur,28,GEN,Sonipat,Devender Kadyan,Independent,195349,140808,72.1 %,35209,25.0%
Garhi Sampla-Kiloi,61,GEN,Rohtak,Bhupinder Singh Hooda,Indian National Congress,224158,148935,66.4 %,71465,48.0%
Gharaunda,22,GEN,Karnal,Harvinder Kalyan,Bharatiya Janta Party,242918,174282,71.7 %,4531,2.6%
Gohana,32,GEN,Sonipat,Arvind Kumar Sharma,Bharatiya Janta Party,196548,130348,66.3 %,10429,8.0%
Guhla,15,SC,Kaithal,Devender Hans,Indian National Congress,192700,133174,69.1 %,22880,17.2%
Gurgaon,77,GEN,Gurgaon,Mukesh Sharma,Bharatiya Janta Party,443572,229029,51.6 %,68045,29.7%
